Portuguese,English,Frequency
café,coffee,54860
sentir,to feel,54857
irmã,sister,54829
estavam,they were,54734
bebê,baby,54577
muitas,lots of,54540
maneira,manner,54435
eram,they were,54384
acontecer,to happen,54371
sozinho,alone,54146
além,in addition,54065
neste,in this,53948
chega,he arrives,53751
suficiente,enough,53294
terá,will,53253
sabem,they know,52825
caras,guys,52702
fale,speak,52605
quis,wanted,52470
nessa,in that,52306
procurando,looking for,52271
durante,during,52238
trás,back,52105
vivo,alive,52084
acordo,agreement,51926
escute,Listen,51817
minuto,minute,51761
vendo,selling,51649
novamente,again,51618
fogo,fire,51589
chegou,it arrived,51527
ouça,listen,51470
criança,child,51329
provavelmente,probably,51247
possível,possible,51194
conseguiu,it achieved,51116
viver,to live,51084
jantar,to have lunch,50799
culpa,blame,50637
equipe,team,50451
achar,to think,50424
falta,lack,50317
pensa,think,50177
sala,room,50154
aonde,to where,49986
falou,he spoke,49745
desta,this,49645
nossas,our,49426
certa,certain,49419
leve,light,49175
único,single,49067
armas,weapons,48987
puta,whore,48895
mudar,to change,48889
presidente,president,48832
comida,food,48744
ligar,to connect,48732
desculpa,sorry,48588
louco,crazy,48539
acreditar,to believe,48478
cama,bed,48453
nesse,in that,48382
conversar,to talk,48324
perder,lose,48074
pagar,pay,48043
livro,book,47979
faria,would,47969
diferente,different,47941
umas,some,47932
forte,strong,47917
plano,flat,47849
pequeno,small,47778
devemos,we must,47594
existe,there is,47464
trouxe,he brought,47458
ouviu,he heard,47457
alô,hello,47415
paz,peace,47413
força,strength,47342
nele,in it,47165
direito,right,47140
lembro,I remember,47088
pena,pity,47036
dizem,they say,46918
casamento,marriage,46788
outras,others,46500
agente,agent,46451
ruim,bad,46438
pedir,ask,46354
estiver,you are,46307
palavra,word,46253
dólares,dollars,46179
entende,he understands,46055
passado,past,45758
luz,light,45729
médico,doctor,45725
pro,pro,45667
atenção,attention,45618
volte,return,45561
música,music,45258
final,end,45092
mostrar,show,45067
acabar,to finish,45059
país,country,44921
filme,film,44744
adeus,goodbye,44639
próxima,next,44482
tchau,goodbye,44473
olhar,to look,44465
pior,worse,44454
baixo,low,44429
estes,these,44403
fazem,they do,44278
querer,to want,44274
rei,king,44217
ponto,point,44147
seis,six,44034
descobrir,discover,43915
iria,I would go,43734
acontece,it happens,43675
semanas,weeks,43614
brincando,joking,43481
jovem,young,43304
controle,control,43027
perguntar,to ask,42983
hospital,hospital,42801
linda,beautiful,42782
sam,sam,42552
jesus,Jesus,42332
chama,flame,42237
resto,rest,42168
próximo,next,41956
sob,under,41927
jogar,to play,41849
colocar,to place,41814
esteve,was,41786
fico,I am,41486
rua,road,41476
tu,you,41433
especial,special,41429
ai,there,41408
chamar,to call,41116
precisar,to need,40944
garotas,girls,40903
negócio,business,40690
continuar,continue,40682
rapazes,boys,40574
vim,I came,40565
pé,foot,40553
falei,I spoke,40461
ideia,idea,40329
pegou,he picked up,40270
estado,state,40209
seguro,insurance,40197
ajude,help,40155
tire,take,40094
engraçado,funny,40033
devem,must,39973
cedo,early,39725
último,last,39681
saiu,it went out,39666
sai,exit,39620
comprar,buy,39576
escritório,desk,39486
encontro,meeting,39327
sinal,signal,39248
michael,Michael,39166
estas,these,38994
começou,it started,38990
pelos,by the,38927
daí,hence,38907
livre,free,38688
respeito,respect,38626
prisão,prison,38452
manter,to maintain,38400
teu,your,38354
incrível,incredible,38111
alto,high,37972
aqueles,those ones,37906
nesta,in this,37848
ajudá,help,37773
srta,Ms.,37741
queremos,we want,37527
sentido,sense,37493
deste,this,37452
doutor,doctor,37382
passou,it happened,37255
estivesse,were,37226
perfeito,perfect,37154
escolha,choice,37081
estávamos,we were,36955
fiquei,I was left,36927
andar,to walk,36918
real,real,36838
próprio,own,36765
pequena,small,36749
estará,will be,36681
ama,Amman,36681
si,yes,36656
boas,good,36633
sistema,system,36541
mortos,dead,36387
entendeu,did you understand,36148
esqueça,forget,36133
milhões,millions,36104
futuro,future,36059
chão,floor,36051
pense,think,36017
ar,air,36014
acredita,believes,35995
ganhar,to win,35989
sexo,sex,35904
dor,pain,35769
charlie,Charlie,35620
trabalhando,working,35392
mente,mind,35386
fato,fact,35381
bonito,beautiful,35349
cabelo,hair,35234
las,las,35233
olhando,looking,35221
consegui,I achieved,35152
policial,police officer,34989
the,the,34976
visto,seen,34941
finalmente,finally,34921
mesa,table,34880
linha,line,34872
amiga,friend,34759
lhes,them,34696
frank,Frank,34584
presente,present,34511
dez,ten,34504
modo,mode,34464
abra,open,34393
rapaz,boy,34337
salvar,save,34303
palavras,words,34297
cuidar,to care,34182
anda,walk,34062
situação,situation,33909
tom,tone,33905
após,after,33762
cale,shut,33761
disseram,they said,33750
tua,your,33703
conhecer,to know,33699
assassino,assassin,33649
passa,raisin,33336
lindo,beautiful,33305
tente,try,33268
própria,own,33261
continue,continue,33261
estive,I was,33198
entender,to understand,33167
peguei,I got,33146
casar,to marry,33131
perdeu,it lost,33111
sozinha,alone,33104
avião,plane,33073
preso,prisoner,33028
conosco,with us,32894
contou,told,32725
simples,simple,32722
estás,these,32664
lamento,I'm sorry,32656
ficará,it will stay,32647
grandes,large,32603
emprego,job,32601
estaria,would be,32476
odeio,I hate,32473
entendi,I understood,32464
bonita,beautiful,32429
ordem,order,32422
local,local,32408
pediu,he requested,32407
tio,uncle,32373
achou,he thought,32318
olho,eye,32126
crime,crime,32055
voltou,it returned,31969
farei,I will do,31964
fizeram,they did,31944
encontrei,I found,31943
normal,normal,31913
partir,depart,31886
sol,sun,31873
soube,I knew,31871
lista,list,31847
ataque,attack,31798
viagem,trip,31776
uh,uh,31719
vontade,willing,31704
rosto,face,31702
chamado,called,31697
doente,sick,31681
foto,photo,31568
inferno,hell,31414
acabei,I finished,31306
hotel,hotel,31233
acidente,accident,31162
tome,take,31070
tv,TV,31004
mensagem,message,30973
levou,he took,30936
david,David,30921
grupo,group,30909
natal,Christmas,30894
senhores,sirs,30891
segunda,second,30885
george,George,30878
serviço,service,30864
professor,teacher,30855
terminar,finish,30845
menina,girl,30830
melhores,best,30802
ligue,call,30703
precisam,need,30645
caixa,box,30609
nave,spaceship,30603
general,general,30587
perguntas,questions,30571
sonho,dream,30551
exército,army,30541
simplesmente,simply,30494
povo,people,30476
quente,warm,30414
campo,field,30395
trazer,to bring,30385
resposta,response,30366
irei,I will go,30344
continua,continues,30317
tiver,have,30272
voce,you,30239
estarei,I will be,30192
aniversário,birthday,30185
morta,dead,30185
abrir,open,30121
guarda,guard,30079
usando,using,29895
levá,he takes,29872
trabalha,it works,29872
menino,boy,29849
harry,Harry,29791
questão,question,29663
porquê,why,29597
mike,Mike,29514
banco,bank,29496
idade,age,29429
meia,half,29368
penso,I think,29345
vale,OK,29324
área,area,29273
maldito,damned,29269
pelas,by,29095
quantos,how many,29062
leva,he takes,28972
graças,thanks,28964
beber,to drink,28936
voz,voice,28895
namorada,girlfriend,28855
encontrou,it found,28826
lembrar,to remember,28794
dei,I gave,28765
matá,kill,28762
companhia,company,28747
mestre,teacher,28723
barco,boat,28721
deixá,he leaves,28606
mau,bad,28451
erro,error,28436
céu,sky,28435
prometo,I promise,28292
ligou,called,28204
seguir,follow,28198
pudesse,could,28191
perdi,I lost,28179
surpresa,surprise,28106
negócios,business,28083
fome,hunger,28034
conversa,conversation,28025
programa,program,27998
lutar,to fight,27990
diria,I would say,27957
missão,mission,27940
notícias,news,27937
chave,key,27933
olhada,look,27893
mês,month,27869
dando,giving,27850
fará,will,27828
fotos,photos,27716
ouvindo,listening,27711
coloque,put,27701
fundo,bottom,27631
ler,to read,27630
governo,government,27608
fazê,to do,27573
adoro,I adore,27507
banheiro,bathroom,27492
explicar,explain,27489
chame,call,27489
advogado,attorney,27440
totalmente,fully,27418
juro,interest,27405
contato,contact,27370
metade,half,27370
ficando,staying,27301
funciona,it works,27274
loja,store,27255
joe,joe,27252
precisava,needed,27251
cachorro,puppy,27210
procurar,to search for,27179
traga,bring,27121
peter,Peter,27086
ótima,excellent,27039
motivo,reason,27024
lei,law,27018
segundos,seconds,27005
completamente,completely,26991
tradução,translation,26853
apartamento,apartment,26739
saiba,know,26728
frio,cold,26721
mandou,sent,26715
bons,good,26682
esquerda,left,26623
teremos,we will,26563
fomos,we were,26545
saindo,leaving,26498
roupa,clothing,26478
carta,letter,26456
buscar,search,26447
somente,only,26259
espaço,space,26256
haver,be,26251
embaixo,below,26231
vista,view,26222
disto,of this,26212
parabéns,congratulations,26208
naquela,in that,26174
tocar,touch,26141
interessante,interesting,26100
namorado,boyfriend,25976
fizemos,we did,25970
segredo,secret,25949
tenente,lieutenant,25941
tentei,I tried,25938
velha,old,25883
assunto,subject,25810
tentou,tried,25769
senti,I felt,25762
ben,ben,25751
posição,position,25750
luta,fight,25727
passada,past,25662
norte,north,25621
conte,tell,25582
reunião,meeting,25565
divertido,fun,25536
roupas,clothes,25526
sete,seven,25521
horrível,horrible,25502
destino,destination,25489
viva,alive,25445
nela,in it,25420
garotos,boys,25418
creio,I believe,25407
depressa,quickly,25359
aposto,I bet,25324
fazemos,we do,25321
vidas,lives,25262
energia,energy,25257
costas,back,25227
né,right,25155
drogas,drugs,25082
papel,paper,25075
falo,I talk,25069
faremos,we will,25042
entendido,understood,25040
direita,right,24981
mandar,to send,24969
estrada,road,24946
mudou,changed,24895
tivemos,we had,24861
hey,hey,24820
cair,to fall,24809
verdadeiro,true,24769
levante,get up,24700
alma,soul,24665
impossível,impossible,24661
parecia,it seemed,24654
assassinato,murder,24601
peça,part,24555
coronel,colonel,24515
naquele,in that,24501
loucura,craziness,24417
